Rep,N,Crate,Model,LogLik,AIC,BIC,nu
50,25,0.0,MVTR,-207.96214508876,453.92429017752,477.082930850016,4
50,25,0.0,MSLR,-207.965199424999,453.930398849999,477.089039522494,4
50,25,0.0,MVNCR,-208.251704635214,452.503409270429,474.443174118056,4
50,25,0.0,MVTCR,-207.962145088709,453.924290177417,477.082930849913,4
50,25,0.0,MSLCR,-208.070113951811,454.140227903622,477.298868576118,4
51,25,0.0,MVNR,-223.098135756335,482.196271512671,504.136036360298,4
51,25,0.0,MVTR,-223.098141099552,484.196282199105,507.354922871601,4
51,25,0.0,MSLR,-223.100918870459,484.201837740918,507.360478413414,4
51,25,0.0,MVNCR,-223.098135756335,482.196271512671,504.136036360298,4
51,25,0.0,MVTCR,-223.098153839367,484.196307678733,507.354948351229,4
51,25,0.0,MSLCR,-224.48940930495,486.978818609901,510.137459282396,4
52,25,0.0,MVNR,-252.739230265699,541.478460531397,563.418225379025,4
52,25,0.0,MVTR,-252.725963586157,543.451927172313,566.610567844809,4
52,25,0.0,MSLR,-252.615538247409,543.231076494818,566.389717167313,4
52,25,0.0,MVNCR,-252.739230265699,541.478460531397,563.418225379025,4
52,25,0.0,MVTCR,-252.725963586177,543.451927172355,566.610567844851,4
52,25,0.0,MSLCR,-254.284037941378,546.568075882757,569.726716555253,4
53,25,0.0,MVNR,-223.710499322817,483.420998645635,505.360763493262,4
53,25,0.0,MVTR,-223.724750440644,485.449500881288,508.608141553784,4
53,25,0.0,MSLR,-223.714118366223,485.428236732446,508.586877404942,4
53,25,0.0,MVNCR,-223.710499322817,483.420998645634,505.360763493262,4
53,25,0.0,MVTCR,-223.724750475364,485.449500950727,508.608141623223,4
53,25,0.0,MSLCR,-224.802291401714,487.604582803428,510.763223475923,4
54,25,0.0,MVNR,-208.582528496428,453.165056992855,475.104821840483,4
54,25,0.0,MVTR,-208.223666343208,454.447332686416,477.605973358912,4
54,25,0.0,MSLR,-208.028637743966,454.057275487932,477.215916160428,4
54,25,0.0,MVNCR,-208.582528496428,453.165056992855,475.104821840483,4
54,25,0.0,MVTCR,-208.223666343207,454.447332686413,477.605973358909,4
54,25,0.0,MSLCR,-208.08358991167,454.167179823339,477.325820495835,4
55,25,0.0,MVNR,-214.847453096409,465.694906192818,487.634671040445,4
55,25,0.0,MVTR,-214.847500092697,467.695000185393,490.853640857889,4
55,25,0.0,MSLR,-214.851865893963,467.703731787926,490.862372460422,4
55,25,0.0,MVNCR,-214.847453096409,465.694906192818,487.634671040445,4
55,25,0.0,MVTCR,-214.847545066227,467.695090132454,490.85373080495,4
55,25,0.0,MSLCR,-215.487051451823,468.974102903647,492.132743576142,4
56,25,0.0,MVNR,-231.328300668916,498.656601337832,520.596366185459,4
56,25,0.0,MVTR,-231.357627720653,500.715255441306,523.873896113802,4
56,25,0.0,MSLR,-231.333170453588,500.666340907177,523.824981579672,4
56,25,0.0,MVNCR,-231.328300668916,498.656601337832,520.596366185459,4
56,25,0.0,MVTCR,-231.357627763045,500.71525552609,523.873896198586,4
56,25,0.0,MSLCR,-233.093095127411,504.186190254822,527.344830927318,4
57,25,0.0,MVNR,-224.184570610305,484.369141220609,506.308906068237,4
57,25,0.0,MVTR,-222.694637895659,483.389275791318,506.547916463814,4
57,25,0.0,MSLR,-222.075187582381,482.150375164762,505.309015837258,4
57,25,0.0,MVNCR,-224.184570610305,484.369141220609,506.308906068237,4
57,25,0.0,MVTCR,-222.694637895659,483.389275791319,506.547916463814,4
57,25,0.0,MSLCR,-222.214240032188,482.428480064377,505.587120736873,4
58,25,0.0,MVNR,-217.676260878725,471.352521757451,493.292286605078,4
58,25,0.0,MVTR,-217.68058985477,473.36117970954,496.519820382036,4
58,25,0.0,MSLR,-217.682218452258,473.364436904517,496.523077577013,4
58,25,0.0,MVNCR,-217.676260878725,471.352521757451,493.292286605078,4
58,25,0.0,MVTCR,-217.68727738603,473.37455477206,496.533195444556,4
58,25,0.0,MSLCR,-218.095495731211,474.190991462423,497.349632134919,4
59,25,0.0,MVNR,-225.456173332999,486.912346665998,508.852111513625,4
59,25,0.0,MVTR,-225.366774668698,488.733549337396,511.892190009892,4
59,25,0.0,MSLR,-225.446368663395,488.892737326791,512.051377999287,4
59,25,0.0,MVNCR,-225.456173332999,486.912346665998,508.852111513625,4
59,25,0.0,MVTCR,-225.366774668609,488.733549337218,511.892190009714,4
